asset_id,category,family,piece,scope,priority,status,art_missing,current_art,implemented_in,requirement_id,notes
req-objective-track-locked,board-ui,Objective choice/progress track,locked,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,objective-track,Functional board/HUD treatment; bespoke illustration may still be needed.
req-objective-track-progress,board-ui,Objective choice/progress track,progress,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,objective-track,Functional board/HUD treatment; bespoke illustration may still be needed.
req-objective-track-resolved,board-ui,Objective choice/progress track,resolved,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,objective-track,Functional board/HUD treatment; bespoke illustration may still be needed.
req-reactor-autodestruction-active,board-ui,Reactor/autodestruction area,autodestruction-active,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,reactor,Functional board/HUD treatment; bespoke illustration may still be needed.
req-reactor-countdown,board-ui,Reactor/autodestruction area,countdown,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,reactor,Functional board/HUD treatment; bespoke illustration may still be needed.
req-reactor-normal,board-ui,Reactor/autodestruction area,normal,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,reactor,Functional board/HUD treatment; bespoke illustration may still be needed.
req-reactor-overheating,board-ui,Reactor/autodestruction area,overheating,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,reactor,Functional board/HUD treatment; bespoke illustration may still be needed.
req-room-destruction-cannot-break,board-ui,Room damage information,cannot-break,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,room-destruction,Functional board/HUD treatment; bespoke illustration may still be needed.
req-room-destruction-destroyed,board-ui,Room damage information,destroyed,base-game,high,missing,yes,,,room-destruction,Dedicated board-information treatment is missing.
req-room-destruction-malfunction,board-ui,Room damage information,malfunction,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,room-destruction,Functional board/HUD treatment; bespoke illustration may still be needed.
req-room-destruction-normal,board-ui,Room damage information,normal,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,room-destruction,Functional board/HUD treatment; bespoke illustration may still be needed.
req-item-search-area-depleted,board-ui,Room search/item areas,depleted,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,item-search-area,Functional board/HUD treatment; bespoke illustration may still be needed.
req-item-search-area-green,board-ui,Room search/item areas,green,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,item-search-area,Functional board/HUD treatment; bespoke illustration may still be needed.
req-item-search-area-red,board-ui,Room search/item areas,red,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,item-search-area,Functional board/HUD treatment; bespoke illustration may still be needed.
req-item-search-area-yellow,board-ui,Room search/item areas,yellow,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,item-search-area,Functional board/HUD treatment; bespoke illustration may still be needed.
req-time-track-end-state,board-ui,Round/time track,end-state,base-game,critical,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,time-track,Functional board/HUD treatment; bespoke illustration may still be needed.
req-time-track-event-phase,board-ui,Round/time track,event-phase,base-game,critical,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,time-track,Functional board/HUD treatment; bespoke illustration may still be needed.
req-time-track-lander-window,board-ui,Round/time track,lander-window,base-game,critical,missing,yes,,,time-track,Dedicated board-information treatment is missing.
req-time-track-round-marker,board-ui,Round/time track,round-marker,base-game,critical,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,time-track,Functional board/HUD treatment; bespoke illustration may still be needed.
req-life-support-active,board-ui,Section life support and oxygen,active,base-game,critical,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,life-support,Functional board/HUD treatment; bespoke illustration may still be needed.
req-life-support-inactive,board-ui,Section life support and oxygen,inactive,base-game,critical,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,life-support,Functional board/HUD treatment; bespoke illustration may still be needed.
req-life-support-oxygen-track,board-ui,Section life support and oxygen,oxygen-track,base-game,critical,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,life-support,Functional board/HUD treatment; bespoke illustration may still be needed.
req-life-support-suffocation,board-ui,Section life support and oxygen,suffocation,base-game,critical,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,life-support,Functional board/HUD treatment; bespoke illustration may still be needed.
req-board-sectors-a,board-ui,Sector/Section overlays,A,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,board-sectors,Functional board/HUD treatment; bespoke illustration may still be needed.
req-board-sectors-b,board-ui,Sector/Section overlays,B,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,board-sectors,Functional board/HUD treatment; bespoke illustration may still be needed.
req-board-sectors-c,board-ui,Sector/Section overlays,C,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,board-sectors,Functional board/HUD treatment; bespoke illustration may still be needed.
req-board-sectors-inactive,board-ui,Sector/Section overlays,inactive,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,board-sectors,Functional board/HUD treatment; bespoke illustration may still be needed.
req-board-sectors-oxygen-warning,board-ui,Sector/Section overlays,oxygen-warning,base-game,high,missing,yes,,,board-sectors,Dedicated board-information treatment is missing.
req-room-security-cannot-secure,board-ui,Secure and cannot-secure areas,cannot-secure,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,room-security,Functional board/HUD treatment; bespoke illustration may still be needed.
req-room-security-secure,board-ui,Secure and cannot-secure areas,secure,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,room-security,Functional board/HUD treatment; bespoke illustration may still be needed.
req-room-security-security-count,board-ui,Secure and cannot-secure areas,security-count,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,room-security,Functional board/HUD treatment; bespoke illustration may still be needed.
card-action-combatEngineer-10,card,Character action cards,Combat Engineer #10: special,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-gear,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-01,card,Character action cards,Combat Engineer #1: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-02,card,Character action cards,Combat Engineer #2: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-03,card,Character action cards,Combat Engineer #3: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-04,card,Character action cards,Combat Engineer #4: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-05,card,Character action cards,Combat Engineer #5: search,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-search,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-06,card,Character action cards,Combat Engineer #6: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-07,card,Character action cards,Combat Engineer #7: cautiousMove,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-cautious,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-08,card,Character action cards,Combat Engineer #8: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-combatEngineer-09,card,Character action cards,Combat Engineer #9: useRoom,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-room,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-10,card,Character action cards,Contractor #10: special,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-gear,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-01,card,Character action cards,Contractor #1: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-02,card,Character action cards,Contractor #2: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-03,card,Character action cards,Contractor #3: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-04,card,Character action cards,Contractor #4: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-05,card,Character action cards,Contractor #5: search,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-search,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-06,card,Character action cards,Contractor #6: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-07,card,Character action cards,Contractor #7: cautiousMove,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-cautious,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-08,card,Character action cards,Contractor #8: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-contractor-09,card,Character action cards,Contractor #9: useRoom,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-room,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-10,card,Character action cards,Heavy Gun Operator #10: special,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-gear,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-01,card,Character action cards,Heavy Gun Operator #1: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-02,card,Character action cards,Heavy Gun Operator #2: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-03,card,Character action cards,Heavy Gun Operator #3: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-04,card,Character action cards,Heavy Gun Operator #4: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-05,card,Character action cards,Heavy Gun Operator #5: search,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-search,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-06,card,Character action cards,Heavy Gun Operator #6: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-07,card,Character action cards,Heavy Gun Operator #7: cautiousMove,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-cautious,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-08,card,Character action cards,Heavy Gun Operator #8: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-heavyGunOperator-09,card,Character action cards,Heavy Gun Operator #9: useRoom,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-room,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-10,card,Character action cards,Medical Support #10: special,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-gear,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-01,card,Character action cards,Medical Support #1: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-02,card,Character action cards,Medical Support #2: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-03,card,Character action cards,Medical Support #3: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-04,card,Character action cards,Medical Support #4: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-05,card,Character action cards,Medical Support #5: search,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-search,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-06,card,Character action cards,Medical Support #6: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-07,card,Character action cards,Medical Support #7: cautiousMove,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-cautious,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-08,card,Character action cards,Medical Support #8: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-medicalSupport-09,card,Character action cards,Medical Support #9: useRoom,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-room,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-10,card,Character action cards,Officer #10: special,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-gear,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-01,card,Character action cards,Officer #1: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-02,card,Character action cards,Officer #2: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-03,card,Character action cards,Officer #3: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-04,card,Character action cards,Officer #4: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-05,card,Character action cards,Officer #5: search,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-search,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-06,card,Character action cards,Officer #6: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-07,card,Character action cards,Officer #7: cautiousMove,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-cautious,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-08,card,Character action cards,Officer #8: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-officer-09,card,Character action cards,Officer #9: useRoom,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-room,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-10,card,Character action cards,Recon #10: special,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-gear,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-01,card,Character action cards,Recon #1: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-02,card,Character action cards,Recon #2: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-03,card,Character action cards,Recon #3: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-04,card,Character action cards,Recon #4: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-05,card,Character action cards,Recon #5: search,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-search,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-06,card,Character action cards,Recon #6: move,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-move,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-07,card,Character action cards,Recon #7: cautiousMove,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-cautious,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-08,card,Character action cards,Recon #8: shoot,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-shoot,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
card-action-recon-09,card,Character action cards,Recon #9: useRoom,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg;../../assets/generated/ui-symbols.svg#i-room,../../js/ui.js,card-action,Functional frame and icon exist; unique card illustration is missing.
req-card-action-basic-action,card,Character action cards,basic-action,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg,../../js/ui.js,card-action,Functional shared treatment; unique class/card art is missing.
req-card-action-card-back,card,Character action cards,card-back,base-game,critical,complete,no,../../assets/generated/cards/action.svg,../../js/ui.js,card-action,Original generic action treatment.
req-card-action-cost,card,Character action cards,cost,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg,../../js/ui.js,card-action,Functional shared treatment; unique class/card art is missing.
req-card-action-six-class-frames,card,Character action cards,six-class-frames,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg,../../js/ui.js,card-action,Functional shared treatment; unique class/card art is missing.
req-card-action-special-action,card,Character action cards,special-action,base-game,critical,template-only,yes,../../assets/generated/cards/action.svg,../../js/ui.js,card-action,Functional shared treatment; unique class/card art is missing.
req-card-contamination-card-back,card,Contamination cards,card-back,base-game,high,partial,partial,../../assets/generated/cards/contamination.svg,../../js/ui.js,card-contamination,Functional treatment exists; scan/code face variants are not authored.
req-card-contamination-clean,card,Contamination cards,clean,base-game,high,partial,partial,../../assets/generated/cards/contamination.svg,../../js/ui.js,card-contamination,Functional treatment exists; scan/code face variants are not authored.
req-card-contamination-hidden,card,Contamination cards,hidden,base-game,high,partial,partial,../../assets/generated/cards/contamination.svg,../../js/ui.js,card-contamination,Functional treatment exists; scan/code face variants are not authored.
req-card-contamination-infected-code,card,Contamination cards,infected-code,base-game,high,partial,partial,../../assets/generated/cards/contamination.svg,../../js/ui.js,card-contamination,Functional treatment exists; scan/code face variants are not authored.
req-card-contamination-scanned,card,Contamination cards,scanned,base-game,high,partial,partial,../../assets/generated/cards/contamination.svg,../../js/ui.js,card-contamination,Functional treatment exists; scan/code face variants are not authored.
card-event-ev7,card,Event cards,Alarm,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev15,card,Event cards,Blocked Passage,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev6,card,Event cards,Breeding,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev16,card,Event cards,Contamination Leak,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev17,card,Event cards,Emergency Lighting,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev4,card,Event cards,Fire Outbreak,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev13,card,Event cards,Heat Wave,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev8,card,Event cards,Hull Breach,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev12,card,Event cards,Infestation,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev14,card,Event cards,Intruder Surge,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev11,card,Event cards,Malfunction,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev10,card,Event cards,Nest Awakening,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev19,card,Event cards,Nest Defense,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev9,card,Event cards,Power Surge,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev20,card,Event cards,Queen Awakening,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev1,card,Event cards,Reactor Overheating,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev2,card,Event cards,Scent of Prey,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev3,card,Event cards,Short Circuit,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev5,card,Event cards,System Failure,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
card-event-ev18,card,Event cards,Tremor,base-game,critical,missing,yes,,,card-event,Unique card illustration is missing.
req-card-event-card-back,card,Event cards,card-back,base-game,critical,missing,yes,,,card-event,No game-facing card artwork exists for this family.
req-card-event-card-front,card,Event cards,card-front,base-game,critical,missing,yes,,,card-event,No game-facing card artwork exists for this family.
req-card-event-movement-routing,card,Event cards,movement-routing,base-game,critical,missing,yes,,,card-event,No game-facing card artwork exists for this family.
req-card-event-room-effects,card,Event cards,room-effects,base-game,critical,missing,yes,,,card-event,No game-facing card artwork exists for this family.
card-exploration-ex1,card,Exploration cards,Exploration ex1,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex10,card,Exploration cards,Exploration ex10,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex11,card,Exploration cards,Exploration ex11,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex12,card,Exploration cards,Exploration ex12,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex2,card,Exploration cards,Exploration ex2,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex3,card,Exploration cards,Exploration ex3,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex4,card,Exploration cards,Exploration ex4,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
card-exploration-ex5,card,Exploration cards,Exploration ex5,base-game,critical,missing,yes,,,card-exploration,Unique card illustration is missing.
